Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,3,0.7165305445382669,5.593283756520213e-06,0.7207142857142858,-0.004183741176018829
K-Nearest Neighbors,3,0.6420000255238439,1.8837799720063686e-05,0.6497619047619048,-0.00776187923806082
Support Vector Machine,3,0.7240204158465907,1.3571420741550611e-05,0.7296190476190476,-0.005598631772456897
Decision Tree,3,0.6346327493813185,1.1147707644704334e-05,0.6337142857142857,0.0009184636670328539
Logistic Regression,4,0.7156938775510204,3.135818408996236e-05,0.7207142857142858,-0.005020408163265322
K-Nearest Neighbors,4,0.6435714285714286,1.0246980424823148e-05,0.6497619047619048,-0.006190476190476191
Support Vector Machine,4,0.7247346938775511,1.7715951686797262e-05,0.7296190476190476,-0.004884353741496539
Decision Tree,4,0.6341632653061224,2.4524781341107846e-05,0.6337142857142857,0.0004489795918367623
Logistic Regression,5,0.7168571428571429,2.5807580174926878e-05,0.7207142857142858,-0.0038571428571428923
K-Nearest Neighbors,5,0.6451428571428571,3.326364014993726e-05,0.6497619047619048,-0.004619047619047634
Support Vector Machine,5,0.7247959183673469,1.6447313619325547e-05,0.7296190476190476,-0.004823129251700697
Decision Tree,5,0.6380408163265305,2.7852561432736317e-05,0.6337142857142857,0.004326530612244861
Logistic Regression,6,0.7163265829803186,4.789975556495339e-05,0.7207142857142858,-0.004387702733967158
K-Nearest Neighbors,6,0.6453879863330965,4.994590383248842e-05,0.6497619047619048,-0.004373918428808299
Support Vector Machine,6,0.7252450861392763,1.8291183138710467e-05,0.7296190476190476,-0.0043739614797713156
Decision Tree,6,0.6361426360131072,0.00011334606127708606,0.6337142857142857,0.002428350298821491
Logistic Regression,7,0.716591836734694,4.477800916284889e-05,0.7207142857142858,-0.004122448979591797
K-Nearest Neighbors,7,0.6441428571428572,5.4688046647230575e-05,0.6497619047619048,-0.005619047619047524
Support Vector Machine,7,0.7247755102040816,2.9083715118700705e-05,0.7296190476190476,-0.004843537414966015
Decision Tree,7,0.6361224489795918,9.769262807163746e-06,0.6337142857142857,0.002408163265306129
Logistic Regression,8,0.7163673469387755,5.6721366097459424e-05,0.7207142857142858,-0.0043469387755102895
K-Nearest Neighbors,8,0.6448979591836734,6.131445231153708e-05,0.6497619047619048,-0.004863945578231332
Support Vector Machine,8,0.7254081632653062,3.376218242398996e-05,0.7296190476190476,-0.004210884353741395
Decision Tree,8,0.6341224489795919,5.393086214077491e-05,0.6337142857142857,0.00040816326530623837
Logistic Regression,9,0.716408104677648,3.686794057627886e-05,0.7207142857142858,-0.004306181036637713
K-Nearest Neighbors,9,0.6441838770819245,4.28120839925466e-05,0.6497619047619048,-0.00557802767998028
Support Vector Machine,9,0.7259387903032283,2.446051764298579e-05,0.7296190476190476,-0.0036802573158193352
Decision Tree,9,0.6347144209444657,5.375830994968769e-05,0.6337142857142857,0.0010001352301800548
Logistic Regression,10,0.7162857142857144,4.2055810079133605e-05,0.7207142857142858,-0.004428571428571337
K-Nearest Neighbors,10,0.6455102040816326,6.197417742607244e-05,0.6497619047619048,-0.004251700680272141
Support Vector Machine,10,0.7253877551020408,3.4029154518950466e-05,0.7296190476190476,-0.004231292517006824
Decision Tree,10,0.635857142857143,4.82969596001668e-05,0.6337142857142857,0.002142857142857335
Logistic Regression,11,0.7160409298154057,3.07873096959228e-05,0.7207142857142858,-0.004673355898880072
K-Nearest Neighbors,11,0.6451839930742108,7.558134233568659e-05,0.6497619047619048,-0.004577911687693947
Support Vector Machine,11,0.7255308845394706,3.9503765011917764e-05,0.7296190476190476,-0.004088163079577045
Decision Tree,11,0.6364287901306039,5.620406993724817e-05,0.6337142857142857,0.002714504416318264
Logistic Regression,12,0.7165915780848088,4.401821898919821e-05,0.7207142857142858,-0.004122707629476974
K-Nearest Neighbors,12,0.6452654463227884,7.020100347605933e-05,0.6497619047619048,-0.004496458439116391
Support Vector Machine,12,0.725571408255838,3.956190459955096e-05,0.7296190476190476,-0.004047639363209621
Decision Tree,12,0.639081462925395,6.176042716304875e-05,0.6337142857142857,0.005367177211109353
Logistic Regression,13,0.7163875187724642,3.499916024797827e-05,0.7207142857142858,-0.004326766941821547
K-Nearest Neighbors,13,0.645306384535317,8.264132406983539e-05,0.6497619047619048,-0.004455520226587795
Support Vector Machine,13,0.7260000165657303,3.8546429184276524e-05,0.7296190476190476,-0.00361903105331729
Decision Tree,13,0.6319184701883713,4.207454651626731e-05,0.6337142857142857,-0.001795815525914346
