Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,3,0.8530676045330207,7.910231395647338e-05,0.8468550592525068,0.006212545280513848
K-Nearest Neighbors,3,0.8323563892145369,5.2225852071648186e-05,0.8350045578851413,-0.002648168670604356
Support Vector Machine,3,0.8475967174677609,6.96344694288651e-05,0.8368277119416591,0.010769005526101827
Decision Tree,3,0.7588901914810474,9.376220225728682e-05,0.7666362807657247,-0.007746089284677238
Logistic Regression,4,0.8550261639280126,5.047696256868441e-05,0.8468550592525068,0.008171104675505747
K-Nearest Neighbors,4,0.8347026604068858,3.288753969475794e-05,0.8350045578851413,-0.0003018974782554862
Support Vector Machine,4,0.8491618984741783,1.0984562411791035e-05,0.8368277119416591,0.012334186532519276
Decision Tree,4,0.7667180164319248,0.0004032009946821478,0.7666362807657247,8.17356662001778e-05
Logistic Regression,5,0.8562018407534246,0.00014236332797986213,0.8468550592525068,0.009346781500917833
K-Nearest Neighbors,5,0.8390036386986301,5.1567663191675075e-05,0.8350045578851413,0.0039990808134888756
Support Vector Machine,5,0.8479933647260275,8.90182692688298e-05,0.8368277119416591,0.01116565278436843
Decision Tree,5,0.7760893162915851,9.952233221626966e-05,0.7666362807657247,0.00945303552586041
Logistic Regression,6,0.8569788494170854,0.0002150764888037743,0.8468550592525068,0.010123790164578539
K-Nearest Neighbors,6,0.8358777436934908,0.0002036478799932505,0.8350045578851413,0.000873185808349497
Support Vector Machine,6,0.8475983404983635,0.00019023315347201398,0.8368277119416591,0.010770628556704409
Decision Tree,6,0.7463964112544117,0.00011237219120825503,0.7666362807657247,-0.020239869511312958
Logistic Regression,7,0.8550212269951771,0.0003336247306925682,0.8468550592525068,0.008166167742670316
K-Nearest Neighbors,7,0.8347042657170659,0.00040284923737280717,0.8350045578851413,-0.00030029216807536674
Support Vector Machine,7,0.8483740228631313,0.00038394368589471844,0.8368277119416591,0.011546310921472291
Decision Tree,7,0.7756803866842044,0.000603354765946643,0.7666362807657247,0.009044105918479706
Logistic Regression,8,0.8561948961598747,0.0003072940435315919,0.8468550592525068,0.009339836907367838
